X;Y;Z
-11;71;-4
21;-3;81
47;-4;-54
-114;-118;28
33;139;-41
5;-49;92
-5;-93;-52
5;149;1
49;-19;-7
3;10;-36
-15;-53;-5
-19;4;79
0;3;-12
9;23;-13
11;-117;-4
-31;44;-71
-12;80;115
65;-66;10
-81;-9;-66
-14;23;48
7;-44;20
6;5;-109
4;61;22
17;80;19
13;-51;-42
-25;-50;-25
55;9;62
-52;7;-5
41;59;-48
-6;14;58
-60;-57;-21
22;46;19
46;-71;4
-19;47;-60
12;-12;69
-14;-21;-16
-36;-108;-78
-29;108;134
35;3;-113
29;-9;52
15;30;73
-41;-17;-59
31;20;-49
-37;-48;3
15;-33;-54
51;35;125
-23;35;-75
-11;-53;50
35;46;59
-12;31;-28
-19;-87;-67
-23;50;-28
40;-43;96
0;-84;-119
-20;57;201
-15;70;-65
98;-13;-56
-131;46;-61
63;0;70
-53;26;9
31;-96;19
-1;-43;-73
-18;153;76
-32;-62;-257
54;-57;227
-28;98;1
-16;-96;-30
49;-25;-21
-3;100;-26
-73;21;32
34;-133;63
35;76;-101
5;15;25
25;-25;19
-7;-77;-49
72;46;58
-119;-73;28
35;156;-105
-58;-155;135
62;-15;12
-26;91;-97
16;-21;-32
-66;267;-124
24;-291;159
42;20;-41
-32;142;-16
48;-69;41
17;-148;103
12;34;35
-45;227;-107
40;-241;17
-64;122;-44
22;26;71
57;-146;-72
-79;121;20
20;-19;5
-24;-77;21
42;69;9
-35;0;-33
15;-12;9
-1;52;-90
43;-91;108
-79;93;-5
-8;-115;-107
40;77;72
-6;29;-73
-13;12;52
22;-32;100
-10;-33;-90
-1;39;23
2;-48;41
-32;0;10
31;-8;-46
6;44;-28
-21;-40;0
7;-6;23
-9;23;-11
-9;21;2
-4;-55;22
15;65;-65
-8;-5;47
14;12;-30
21;-45;44
-21;-31;-19
-12;-43;-11
23;60;94
-37;33;-115
32;86;67
-31;-194;-37
-80;8;33
116;150;-162
-23;-169;39
63;27;124
-48;276;-192
-38;-289;341
35;24;-271
370;196;156
-508;-207;-17
367;382;267
-179;-519;-373
-324;-64;-216
119;121;502
595;334;120
-499;-300;-552
26;437;61
43;-585;60
-1;374;-34
-56;-64;132
74;-142;13
-77;103;-74
18;-27;60
-4;42;-22
-18;26;-52
61;-121;89
-54;57;-48
25;2;10
-19;32;-5
-2;0;-2
-1;-54;38
-14;36;-47
27;-48;-4
-19;51;5
-3;-16;25
44;15;-15
-34;-14;18
25;-11;11
-20;33;-49
22;-33;23
-1;49;-29
-6;-26;9
-17;13;47
-15;-29;-53
46;-27;41
-49;-22;2
23;41;-14
-18;40;-11
-10;-46;-11
-13;6;-2
5;28;-22
2;-64;24
15;36;12
24;-14;-19
-18;34;40
21;-22;-43
3;46;24
4;-13;-32
-1;-85;36
-27;121;-5
-11;-35;-5
20;-59;-10
2;79;-11
9;-50;18
-16;56;4
3;-76;-8
9;35;-23
-5;50;36
8;-67;-47
-16;-16;-5
12;28;53
35;2;9
-19;-29;-7
-6;-9;9
-13;7;-4
12;15;-15
22;1;-64
33;-11;87
-59;29;15
34;-81;91
-51;129;-199
16;-100;-18
-15;54;44
-40;30;43
-72;-28;-26
131;-79;16
-15;80;29
18;-44;-42
-54;51;19
11;1;21
53;-4;34
-63;-9;12
74;-8;-15
-28;61;11
-29;-60;-48
-39;26;5
83;-6;49
4;-90;-52
-45;55;18
-24;-4;18
19;-56;2
-30;119;9
19;-55;-38
18;-8;7
1;55;21
-34;21;-71
40;-40;-14
-21;-24;99
6;50;-52
-20;-120;6
-16;116;11
63;-56;35
11;-20;-69
-36;79;49
31;-13;88
-18;-93;-122
-22;36;38
15;65;15
-13;-74;-28
-39;48;-30
-2;-29;25
5;-66;-25
-6;73;9
1;18;-15
33;-49;30
-50;47;-35
52;26;51
18;1;-46
-11;-85;9
0;71;-15
26;18;-41
-37;-55;21
16;-107;77
-18;183;19
35;-23;-68
-35;-95;-6
-7;72;-46
62;86;30
-34;-175;14
-3;114;-7
20;37;26
-75;-56;-45
44;-60;67
-18;28;-98
24;33;56
-10;-54;-8
-7;74;42
-26;-15;-9
67;-27;51
-67;-21;-41
102;-73;-69
-79;115;-31
-45;-60;45
52;91;-84
-9;-90;97
2;29;-35
51;-28;-19
-63;104;94
5;-134;-32
38;100;-98
-3;-89;96
-10;37;-18
-21;13;-45
-10;21;31
-8;-24;34
69;-47;-10
-59;66;-48
31;18;49
-38;-29;11
-34;-56;31
77;89;-38
-26;-98;-50
36;9;-15
-14;22;103
-90;-118;-18
226;44;192
-93;26;-192
-3;253;-68
-67;-75;102
-283;-70;30
272;-103;97
-12;254;-327
136;-466;275
-93;79;104
145;273;-502
-120;-84;335
-80;61;-24
54;16;-83
-38;-151;121
-15;52;-106
49;26;-6
34;-66;99
-82;45;-28
2;-10;-77
5;-4;-5
7;57;27
22;-60;37
-30;75;12
59;-72;-57
6;-5;20
