x,y,z,36,broad_category
81.0,42.0,120.0,../datasets/Driving/Dataset driving 2.csv,Driving
81.0,108.0,133.0,../datasets/Driving/Dataset driving 2.csv,Driving
73.0,80.0,86.0,../datasets/Driving/Dataset driving 2.csv,Driving
89.0,60.0,70.0,../datasets/Driving/Dataset driving 2.csv,Driving
70.0,77.0,80.0,../datasets/Driving/Dataset driving 2.csv,Driving
68.0,91.0,159.0,../datasets/Driving/Dataset driving 2.csv,Driving
59.0,64.0,126.0,../datasets/Driving/Dataset driving 2.csv,Driving
51.0,98.0,204.0,../datasets/Driving/Dataset driving 2.csv,Driving
135.0,76.0,235.0,../datasets/Driving/Dataset driving 2.csv,Driving
80.0,60.0,106.0,../datasets/Driving/Dataset driving 2.csv,Driving
168.0,90.0,117.0,../datasets/Driving/Dataset driving 2.csv,Driving
90.0,68.0,107.0,../datasets/Driving/Dataset driving 2.csv,Driving
58.0,46.0,74.0,../datasets/Driving/Dataset driving 2.csv,Driving
74.0,67.0,75.0,../datasets/Driving/Dataset driving 2.csv,Driving
83.0,41.0,118.0,../datasets/Driving/Dataset driving 2.csv,Driving
103.0,126.0,74.0,../datasets/Driving/Dataset driving 2.csv,Driving
125.0,64.0,95.0,../datasets/Driving/Dataset driving 2.csv,Driving
53.0,69.0,98.0,../datasets/Driving/Dataset driving 2.csv,Driving
52.0,103.0,170.0,../datasets/Driving/Dataset driving 2.csv,Driving
86.0,45.0,95.0,../datasets/Driving/Dataset driving 2.csv,Driving
106.0,63.0,66.0,../datasets/Driving/Dataset driving 2.csv,Driving
72.0,31.0,93.0,../datasets/Driving/Dataset driving 2.csv,Driving
60.0,63.0,98.0,../datasets/Driving/Dataset driving 2.csv,Driving
63.0,55.0,131.0,../datasets/Driving/Dataset driving 2.csv,Driving
54.0,90.0,83.0,../datasets/Driving/Dataset driving 2.csv,Driving
75.0,44.0,138.0,../datasets/Driving/Dataset driving 2.csv,Driving
53.0,69.0,116.0,../datasets/Driving/Dataset driving 2.csv,Driving
80.0,51.0,300.0,../datasets/Driving/Dataset driving 2.csv,Driving
75.0,81.0,75.0,../datasets/Driving/Dataset driving 2.csv,Driving
76.0,53.0,82.0,../datasets/Driving/Dataset driving 2.csv,Driving
429.0,539.0,143.0,../datasets/Driving/Dataset driving 2.csv,Driving
37.0,76.0,137.0,../datasets/Driving/Dataset driving 2.csv,Driving
35.0,83.0,128.0,../datasets/Driving/Dataset driving 2.csv,Driving
64.0,86.0,100.0,../datasets/Driving/Dataset driving 2.csv,Driving
50.0,41.0,45.0,../datasets/Driving/Dataset driving 2.csv,Driving
51.0,37.0,61.0,../datasets/Driving/Dataset driving 2.csv,Driving
99.0,57.0,181.0,../datasets/Driving/Dataset driving 2.csv,Driving
168.0,73.0,111.0,../datasets/Driving/Dataset driving 2.csv,Driving
236.0,55.0,182.0,../datasets/Driving/Dataset driving 2.csv,Driving
88.0,64.0,126.0,../datasets/Driving/Dataset driving 2.csv,Driving
68.0,36.0,101.0,../datasets/Driving/Dataset driving 2.csv,Driving
47.0,63.0,125.0,../datasets/Driving/Dataset driving 2.csv,Driving
95.0,90.0,127.0,../datasets/Driving/Dataset driving 2.csv,Driving
56.0,85.0,144.0,../datasets/Driving/Dataset driving 2.csv,Driving
114.0,92.0,252.0,../datasets/Driving/Dataset driving 2.csv,Driving
111.0,65.0,172.0,../datasets/Driving/Dataset driving 2.csv,Driving
72.0,72.0,193.0,../datasets/Driving/Dataset driving 2.csv,Driving
76.0,47.0,161.0,../datasets/Driving/Dataset driving 2.csv,Driving
87.0,117.0,153.0,../datasets/Driving/Dataset driving 2.csv,Driving
59.0,42.0,100.0,../datasets/Driving/Dataset driving 2.csv,Driving
68.0,52.0,132.0,../datasets/Driving/Dataset driving 2.csv,Driving
52.0,74.0,106.0,../datasets/Driving/Dataset driving 2.csv,Driving
37.0,96.0,166.0,../datasets/Driving/Dataset driving 2.csv,Driving
41.0,56.0,81.0,../datasets/Driving/Dataset driving 2.csv,Driving
60.0,59.0,162.0,../datasets/Driving/Dataset driving 2.csv,Driving
76.0,61.0,149.0,../datasets/Driving/Dataset driving 2.csv,Driving
54.0,49.0,85.0,../datasets/Driving/Dataset driving 2.csv,Driving
103.0,24.0,68.0,../datasets/Driving/Dataset driving 2.csv,Driving
59.0,45.0,63.0,../datasets/Driving/Dataset driving 2.csv,Driving
37.0,49.0,116.0,../datasets/Driving/Dataset driving 2.csv,Driving
48.0,42.0,69.0,../datasets/Driving/Dataset driving 2.csv,Driving
39.0,51.0,40.0,../datasets/Driving/Dataset driving 2.csv,Driving
37.0,29.0,82.0,../datasets/Driving/Dataset driving 2.csv,Driving
61.0,35.0,65.0,../datasets/Driving/Dataset driving 2.csv,Driving
32.0,37.0,42.0,../datasets/Driving/Dataset driving 2.csv,Driving
40.0,30.0,56.0,../datasets/Driving/Dataset driving 2.csv,Driving
29.0,33.0,42.0,../datasets/Driving/Dataset driving 2.csv,Driving
25.0,22.0,23.0,../datasets/Driving/Dataset driving 2.csv,Driving
26.0,12.0,19.0,../datasets/Driving/Dataset driving 2.csv,Driving
19.0,7.0,13.0,../datasets/Driving/Dataset driving 2.csv,Driving
17.0,11.0,7.0,../datasets/Driving/Dataset driving 2.csv,Driving
7.0,10.0,15.0,../datasets/Driving/Dataset driving 2.csv,Driving
14.0,8.0,11.0,../datasets/Driving/Dataset driving 2.csv,Driving
18.0,14.0,11.0,../datasets/Driving/Dataset driving 2.csv,Driving
20.0,13.0,14.0,../datasets/Driving/Dataset driving 2.csv,Driving
11.0,14.0,16.0,../datasets/Driving/Dataset driving 2.csv,Driving
18.0,10.0,13.0,../datasets/Driving/Dataset driving 2.csv,Driving
8.0,11.0,11.0,../datasets/Driving/Dataset driving 2.csv,Driving
11.0,10.0,13.0,../datasets/Driving/Dataset driving 2.csv,Driving
12.0,12.0,15.0,../datasets/Driving/Dataset driving 2.csv,Driving
17.0,4.0,15.0,../datasets/Driving/Dataset driving 2.csv,Driving
20.0,7.0,13.0,../datasets/Driving/Dataset driving 2.csv,Driving
8.0,12.0,8.0,../datasets/Driving/Dataset driving 2.csv,Driving
17.0,11.0,18.0,../datasets/Driving/Dataset driving 2.csv,Driving
15.0,11.0,19.0,../datasets/Driving/Dataset driving 2.csv,Driving
13.0,11.0,16.0,../datasets/Driving/Dataset driving 2.csv,Driving
11.0,9.0,18.0,../datasets/Driving/Dataset driving 2.csv,Driving
18.0,9.0,17.0,../datasets/Driving/Dataset driving 2.csv,Driving
16.0,11.0,18.0,../datasets/Driving/Dataset driving 2.csv,Driving
17.0,10.0,9.0,../datasets/Driving/Dataset driving 2.csv,Driving
25.0,5.0,13.0,../datasets/Driving/Dataset driving 2.csv,Driving
18.0,7.0,20.0,../datasets/Driving/Dataset driving 2.csv,Driving
34.0,30.0,29.0,../datasets/Driving/Dataset driving 2.csv,Driving
61.0,29.0,53.0,../datasets/Driving/Dataset driving 2.csv,Driving
59.0,44.0,64.0,../datasets/Driving/Dataset driving 2.csv,Driving
48.0,38.0,43.0,../datasets/Driving/Dataset driving 2.csv,Driving
73.0,38.0,42.0,../datasets/Driving/Dataset driving 2.csv,Driving
56.0,55.0,108.0,../datasets/Driving/Dataset driving 2.csv,Driving
132.0,33.0,51.0,../datasets/Driving/Dataset driving 2.csv,Driving
64.0,52.0,52.0,../datasets/Driving/Dataset driving 2.csv,Driving
99.0,43.0,101.0,../datasets/Driving/Dataset driving 2.csv,Driving
110.0,46.0,77.0,../datasets/Driving/Dataset driving 2.csv,Driving
57.0,63.0,39.0,../datasets/Driving/Dataset driving 2.csv,Driving
42.0,38.0,43.0,../datasets/Driving/Dataset driving 2.csv,Driving
95.0,45.0,52.0,../datasets/Driving/Dataset driving 2.csv,Driving
52.0,63.0,71.0,../datasets/Driving/Dataset driving 2.csv,Driving
83.0,33.0,82.0,../datasets/Driving/Dataset driving 2.csv,Driving
55.0,51.0,73.0,../datasets/Driving/Dataset driving 2.csv,Driving
104.0,40.0,64.0,../datasets/Driving/Dataset driving 2.csv,Driving
49.0,66.0,64.0,../datasets/Driving/Dataset driving 2.csv,Driving
68.0,75.0,58.0,../datasets/Driving/Dataset driving 2.csv,Driving
51.0,56.0,92.0,../datasets/Driving/Dataset driving 2.csv,Driving
52.0,40.0,69.0,../datasets/Driving/Dataset driving 2.csv,Driving
40.0,81.0,79.0,../datasets/Driving/Dataset driving 2.csv,Driving
89.0,64.0,154.0,../datasets/Driving/Dataset driving 2.csv,Driving
43.0,36.0,55.0,../datasets/Driving/Dataset driving 2.csv,Driving
41.0,55.0,91.0,../datasets/Driving/Dataset driving 2.csv,Driving
61.0,51.0,140.0,../datasets/Driving/Dataset driving 2.csv,Driving
46.0,75.0,106.0,../datasets/Driving/Dataset driving 2.csv,Driving
103.0,57.0,122.0,../datasets/Driving/Dataset driving 2.csv,Driving
73.0,47.0,105.0,../datasets/Driving/Dataset driving 2.csv,Driving
44.0,70.0,141.0,../datasets/Driving/Dataset driving 2.csv,Driving
59.0,85.0,119.0,../datasets/Driving/Dataset driving 2.csv,Driving
99.0,70.0,78.0,../datasets/Driving/Dataset driving 2.csv,Driving
54.0,104.0,73.0,../datasets/Driving/Dataset driving 2.csv,Driving
76.0,98.0,184.0,../datasets/Driving/Dataset driving 2.csv,Driving
55.0,70.0,114.0,../datasets/Driving/Dataset driving 2.csv,Driving
57.0,71.0,105.0,../datasets/Driving/Dataset driving 2.csv,Driving
104.0,94.0,159.0,../datasets/Driving/Dataset driving 2.csv,Driving
67.0,55.0,105.0,../datasets/Driving/Dataset driving 2.csv,Driving
56.0,36.0,61.0,../datasets/Driving/Dataset driving 2.csv,Driving
61.0,41.0,92.0,../datasets/Driving/Dataset driving 2.csv,Driving
53.0,52.0,134.0,../datasets/Driving/Dataset driving 2.csv,Driving
46.0,49.0,43.0,../datasets/Driving/Dataset driving 2.csv,Driving
63.0,35.0,87.0,../datasets/Driving/Dataset driving 2.csv,Driving
41.0,42.0,59.0,../datasets/Driving/Dataset driving 2.csv,Driving
51.0,50.0,84.0,../datasets/Driving/Dataset driving 2.csv,Driving
90.0,40.0,43.0,../datasets/Driving/Dataset driving 2.csv,Driving
51.0,36.0,66.0,../datasets/Driving/Dataset driving 2.csv,Driving
49.0,50.0,45.0,../datasets/Driving/Dataset driving 2.csv,Driving
55.0,48.0,75.0,../datasets/Driving/Dataset driving 2.csv,Driving
57.0,46.0,58.0,../datasets/Driving/Dataset driving 2.csv,Driving
71.0,26.0,74.0,../datasets/Driving/Dataset driving 2.csv,Driving
39.0,32.0,80.0,../datasets/Driving/Dataset driving 2.csv,Driving
57.0,56.0,89.0,../datasets/Driving/Dataset driving 2.csv,Driving
73.0,77.0,79.0,../datasets/Driving/Dataset driving 2.csv,Driving
61.0,70.0,46.0,../datasets/Driving/Dataset driving 2.csv,Driving
46.0,82.0,76.0,../datasets/Driving/Dataset driving 2.csv,Driving
89.0,41.0,97.0,../datasets/Driving/Dataset driving 2.csv,Driving
122.0,31.0,112.0,../datasets/Driving/Dataset driving 2.csv,Driving
59.0,57.0,81.0,../datasets/Driving/Dataset driving 2.csv,Driving
72.0,57.0,73.0,../datasets/Driving/Dataset driving 2.csv,Driving
48.0,28.0,86.0,../datasets/Driving/Dataset driving 2.csv,Driving
47.0,27.0,56.0,../datasets/Driving/Dataset driving 2.csv,Driving
33.0,24.0,56.0,../datasets/Driving/Dataset driving 2.csv,Driving
44.0,42.0,27.0,../datasets/Driving/Dataset driving 2.csv,Driving
41.0,21.0,19.0,../datasets/Driving/Dataset driving 2.csv,Driving
18.0,36.0,28.0,../datasets/Driving/Dataset driving 2.csv,Driving
22.0,12.0,17.0,../datasets/Driving/Dataset driving 2.csv,Driving
28.0,16.0,11.0,../datasets/Driving/Dataset driving 2.csv,Driving
39.0,23.0,32.0,../datasets/Driving/Dataset driving 2.csv,Driving
75.0,20.0,26.0,../datasets/Driving/Dataset driving 2.csv,Driving
58.0,17.0,46.0,../datasets/Driving/Dataset driving 2.csv,Driving
34.0,23.0,27.0,../datasets/Driving/Dataset driving 2.csv,Driving
57.0,35.0,37.0,../datasets/Driving/Dataset driving 2.csv,Driving
42.0,21.0,32.0,../datasets/Driving/Dataset driving 2.csv,Driving
32.0,45.0,64.0,../datasets/Driving/Dataset driving 2.csv,Driving
68.0,29.0,64.0,../datasets/Driving/Dataset driving 2.csv,Driving
25.0,24.0,33.0,../datasets/Driving/Dataset driving 2.csv,Driving
23.0,21.0,30.0,../datasets/Driving/Dataset driving 2.csv,Driving
29.0,12.0,22.0,../datasets/Driving/Dataset driving 2.csv,Driving
8.0,9.0,15.0,../datasets/Driving/Dataset driving 2.csv,Driving
12.0,9.0,10.0,../datasets/Driving/Dataset driving 2.csv,Driving
18.0,6.0,21.0,../datasets/Driving/Dataset driving 2.csv,Driving
12.0,12.0,15.0,../datasets/Driving/Dataset driving 2.csv,Driving
25.0,23.0,13.0,../datasets/Driving/Dataset driving 2.csv,Driving
