X;Y;Z
70;1;34
37;2;24
-55;-24;-46
-43;5;-5
8;1;-5
61;10;25
34;-2;27
56;1;17
-58;-10;-31
-64;0;-29
-37;-5;-13
14;-4;11
64;-8;19
31;2;19
-16;10;1
-29;3;-17
-58;-2;-25
-3;3;-2
47;8;28
42;-3;16
30;-2;2
-9;-1;-11
-67;-2;-20
-51;-6;-27
20;3;9
67;-10;26
27;3;22
-21;7;-5
-33;-7;-36
-47;6;-2
-15;-3;-12
45;10;24
47;4;30
44;-12;4
-24;5;-5
-55;-7;-39
-49;-7;-13
1;2;2
57;-5;30
52;-2;19
-4;6;14
-50;3;-51
-50;-1;-11
-28;-12;-19
54;16;29
55;5;30
47;-1;18
-36;-9;-16
-43;-3;-32
-65;-5;-24
8;-3;5
50;-3;26
52;4;24
8;-7;7
-45;10;-35
-58;-6;-23
-22;2;-6
37;6;17
46;4;21
35;-6;18
15;10;15
-48;-14;-42
-71;0;-26
-10;1;-2
39;-8;9
68;2;37
20;5;15
-50;5;-22
-32;1;-31
-55;-5;-14
33;10;17
46;3;15
15;-10;8
38;-5;21
-43;-2;-32
-56;4;-19
-24;-6;-18
23;-11;16
43;5;26
23;7;8
-2;-8;5
-15;-6;-28
-58;12;-11
-10;1;-8
29;10;18
40;0;17
-7;3;2
70;-9;21
-36;-5;-24
-82;-5;-30
-26;4;-19
14;-8;9
75;2;38
27;-5;20
-53;20;-11
-22;-7;-33
-41;-7;-14
19;6;5
34;-6;11
18;-9;3
-14;6;-6
-78;-3;-35
-27;-5;-18
35;-12;17
45;1;28
30;6;14
-34;12;0
-30;-2;-39
-55;-10;-16
21;4;6
65;9;36
24;-9;6
25;6;10
-43;-7;-23
-64;2;-27
-24;-7;-18
40;-9;26
50;-4;24
29;11;11
-43;16;-6
-47;-8;-38
-41;-7;-12
29;7;7
65;2;34
25;-3;7
6;3;9
-33;-7;-19
-72;4;-29
-11;-7;-15
44;-6;25
62;3;30
7;-3;1
-49;6;-18
-49;5;-22
-39;-11;-21
