X;Y;Z
0;-17;30
-19;73;-23
-50;-9;16
-8;-26;-80
47;26;74
-4;-21;-4
22;9;-21
-2;0;29
-24;-20;-3
13;-6;-43
-1;7;29
-8;1;2
-6;-6;3
24;8;1
12;-9;-29
-40;9;38
25;-5;-4
-13;84;-68
3;-85;46
40;-78;-100
70;210;111
-58;-234;141
-66;79;-151
-258;-426;199
405;-565;239
-215;1383;-194
-48;-299;1
222;150;-370
-207;-230;158
133;-36;-91
-167;178;-30
52;-211;137
96;72;-47
19;43;23
-70;-59;108
123;-33;-121
-56;38;-16
-35;10;1
24;-3;-9
-3;-3;11
-12;-4;4
-8;17;-10
25;-19;9
-14;20;-7
-28;-22;23
18;7;-34
15;-3;4
4;14;-24
-6;9;7
-6;-24;19
0;0;-1
9;-4;14
-21;52;-16
29;-86;-29
-8;26;65
137;-92;73
-147;84;-111
-8;22;-22
7;-1;8
19;17;39
-14;-13;-41
-30;5;24
-2;16;-45
63;-5;46
-26;-7;-21
-25;-45;-21
-7;59;23
37;3;-5
-21;-40;19
21;11;-40
-18;6;37
-3;-1;-34
36;-10;9
-3;-32;25
-78;92;-94
29;-45;49
41;1;49
-18;-11;-32
12;3;5
3;-6;-16
-22;-5;26
18;4;-3
5;-15;-7
-22;32;32
-3;-11;-18
15;-17;-18
-6;-9;13
9;46;-41
-17;-26;22
18;-7;2
8;67;-59
137;-252;198
-125;209;-30
21;-14;-69
-105;17;-198
-304;90;103
301;-491;513
27;202;-408
-46;150;-84
94;-11;28
-36;58;-3
22;-33;12
2;-1;-17
-1;5;-5
0;-16;10
-12;-19;-1
-10;23;12
6;25;-2
7;17;-18
69;-59;-50
-45;47;39
-7;-40;25
-21;18;-8
-7;-7;4
1;-4;-4
30;20;-8
-16;-16;7
-24;21;-1
72;-65;174
-81;67;-280
51;-8;108
-11;4;-13
-19;-47;31
-49;118;-1
58;-108;-22
18;17;-16
-22;19;-4
7;-18;4
47;-73;-57
-113;206;-42
91;-188;78
-33;91;62
22;-48;-42
-15;-5;-10
-8;13;8
2;-6;-1
45;-14;87
-53;39;-120
40;-26;16
-27;8;-3
16;-26;-9
-15;23;29
-23;11;-14
37;32;30
-18;-43;-34
-9;130;-68
-205;-256;17
37;91;151
635;194;15
-536;-436;-88
332;170;-251
-341;132;157
212;-74;20
240;-297;296
-263;386;-352
