X;Y;Z
-169;-223;994
-308;216;-752
608;414;-62
806;-247;-612
-551;1219;579
-53;-955;554
-953;-535;913
546;302;-994
-679;426;258
2047;223;-44
-1040;-309;-57
-680;-970;-502
-237;105;368
973;471;-640
928;782;304
-1147;-1224;355
862;318;465
-1163;301;156
1502;-301;-1138
-2048;99;440
515;-467;-119
247;471;87
376;122;367
-221;404;-672
-120;-875;-224
-622;947;441
586;-105;362
271;353;125
346;-376;-944
-556;-452;424
456;506;-441
-307;499;1292
-977;-80;-113
1740;-773;433
-940;-10;-1288
-29;-430;372
373;503;-374
-963;365;-638
1420;-961;1926
-1603;634;-1188
831;62;-90
-352;68;-221
283;-667;397
-188;748;585
933;36;-1334
538;-392;591
-1924;-376;-7
1029;283;171
-486;-33;-674
-627;-638;1469
661;661;-247
1055;258;-1328
-1139;900;-88
76;-518;710
74;-313;221
594;-512;714
-333;1234;-1137
604;-532;-40
-87;-200;175
-691;-902;124
515;362;958
-166;157;-190
-339;195;-608
-405;345;490
755;265;-1040
244;48;382
-677;-852;1110
1144;672;-1011
-915;-165;97
-31;-522;402
117;5;316
18;-99;-1346
-589;516;1503
1224;-1023;-1063
-1675;163;162
568;686;-391
1176;1041;20
-606;-591;187
-73;164;56
802;55;1149
-127;-887;-541
-666;392;-1213
-302;46;-139
-183;-208;1378
388;-521;-479
863;-1311;1882
-596;266;-413
-81;792;-804
-28;158;-309
-360;-59;258
-55;255;643
392;220;434
145;-217;-658
-451;629;-1171
-230;-951;962
-735;-826;1042
840;539;-1351
401;-384;321
493;822;288
-698;-245;-74
426;1044;-539
-371;-311;-529
192;-179;1085
-732;-385;-464
1400;-883;1302
-1149;38;-351
143;624;-959
15;-251;683
-526;857;-645
793;-1562;1098
-528;680;-880
451;371;-212
-70;46;-57
-207;146;517
453;801;-1217
358;-1171;-28
-1009;46;1045
355;528;-355
-1038;432;-354
1733;-852;949
-546;572;-163
-91;-1073;923
758;251;-837
-831;848;-491
403;-787;-469
-117;-198;1543
-1306;377;160
2041;-1023;-556
-1639;1286;-198
1062;-158;63
-603;-266;-623
-293;548;67
491;-530;961
5;668;-1220
493;-182;479
-804;15;-329
-256;-543;-20
493;-562;1128
737;1191;-940
-674;-41;-677
-293;26;1201
818;208;-82
-1091;-977;-1079
675;147;595
-634;285;225
592;-658;260
-1042;-34;569
997;1181;-534
-52;-128;-700
387;336;-132
100;-585;365
-619;-871;1265
323;801;-1244
-315;-161;1075
393;-1004;-226
164;2046;-1446
-501;-867;1840
802;-103;0
-740;-92;0
548;-592;-1407
261;-59;-214
-242;-265;171
-627;827;1140
72;294;-1190
530;342;-8
-310;-92;194
481;-59;1221
-359;272;-1636
-469;-332;243
-65;-448;357
24;264;574
41;-305;551
521;1209;-1342
-625;-311;158
433;32;52
-77;-593;639
790;-129;-757
-1091;556;-270
-761;-127;1200
866;-1113;-337
-24;805;-1131
-481;282;-13
283;-153;351
651;-292;1444
-261;-70;-161
-99;732;-1481
243;-1671;1533
-337;736;-1421
-66;-27;429
89;-425;1100
-15;-242;-667
961;768;-419
-1053;434;28
824;-114;1057
52;-1133;0
-1149;1713;-387
-295;-755;-1108
775;-153;537
275;834;-711
-745;59;-302
93;-115;261
-38;78;556
1375;-889;-143
-578;172;236
-939;-42;-837
261;-273;1206
101;88;-915
518;260;872
-386;144;-306
365;155;-301
-1123;-460;1179
1495;989;155
-39;-578;-731
-54;141;1012
1253;-609;-484
-2048;-165;981
1300;1164;-859
-531;-18;-125
526;351;645
-364;503;-1553
-113;-1418;1018
-386;-128;397
545;171;129
392;1261;-1349
-35;-432;434
711;543;455
-1191;-1488;-378
109;487;-106
-344;-523;266
-23;-14;390
1417;-479;434
-1246;1065;-952
394;549;209
-31;-1213;939
803;333;-1116
-1360;941;1115
6;-799;-810
51;-289;-617
1410;854;-36
-2048;-1476;1029
856;424;-225
260;803;-283
46;685;-587
797;134;640
-356;-830;-156
-214;145;-826
-1077;-411;701
24;-236;-517
783;333;1229
-63;745;-679
14;-358;-480
248;96;760
177;-180;-174
-1116;-255;-269
570;-570;1294
-955;-530;-918
1334;491;917
-139;915;-730
194;-21;-181
59;-716;910
-1450;928;-1666
977;-1096;-371
-328;956;1045
339;-309;-561
-348;-583;119
271;1214;102
2;-232;202
20;-593;943
214;314;-588
-113;-227;-433
44;-190;300
964;931;-251
-623;-1307;1155
-34;932;-1489
-415;-204;-160
42;264;790
1028;-788;670
-1282;71;-1276
27;-65;2
587;95;149
-868;441;-553
384;-702;1865
203;18;-2048
75;1501;313
-12;-755;1733
-411;249;-694
458;-20;-864
-202;-551;25
-439;-395;790
1222;-133;260
-698;373;-439
841;112;216
-540;943;-715
186;144;1418
235;-1612;-289
-810;467;288
-114;423;-1344
644;-1005;664
-805;-202;160
-29;223;-296
472;1079;-167
-28;341;-487
-1152;-1734;1271
0;810;-859
1198;1236;-835
-397;-951;817
1245;-794;137
-1813;-263;936
-60;622;-550
189;-177;1436
-909;218;-1463
779;126;-258
-67;-1289;733
-971;103;577
1012;-5;69
145;845;-895
-546;434;-488
-16;-502;1468
645;564;-1241
-788;-477;64
-135;-394;-607
344;-460;396
-569;-192;116
142;649;358
304;417;-451
210;-327;712
293;304;391
-324;-107;-728
-926;-690;-19
1924;1359;367
-1701;-1318;-82
1122;674;293
-312;-115;-491
518;728;420
-1676;-1980;750
1287;361;-1401
-197;163;730
-441;348;126
-651;698;-561
1518;-588;697
-209;-316;-705
-188;825;43
-366;-754;110
410;618;-411
-756;-951;317
589;587;184
-129;-736;682
108;651;-714
372;507;-534
35;-319;1431
-407;-1053;-103
63;525;-1471
-404;395;557
591;-107;404
-252;625;-920
-54;-206;-516
353;270;577
-255;-1023;990
-239;105;-1006
370;131;1392
-1159;176;-4
1840;-941;95
-955;1439;-938
-64;312;-35
-15;-543;-355
449;-26;49
144;288;-607
-1044;-616;1361
1;-628;-279
980;1035;-182
-281;-138;-402
61;81;-465
-196;582;436
-18;-478;925
199;12;-1222
-420;-493;603
1229;728;927
-853;-1309;179
390;-156;0
-220;1236;-1405
-279;-344;-643
-514;312;421
980;29;870
-18;168;-910
-487;-342;171
1092;865;-554
-1259;-1210;571
109;-404;1082
146;561;-1589
-272;754;-66
-111;-689;1165
-605;-660;881
1166;1364;-2039
-521;199;537
216;-1856;1501
-27;719;-94
-214;161;-1135
759;25;-263
-102;610;-375
-694;-404;659
269;-194;23
96;508;690
811;370;-1555
-164;-691;552
-657;-217;-358
-510;-203;687
-64;90;344
406;196;-371
1174;989;-188
-997;-680;-657
76;384;389
237;-312;842
139;606;-954
-160;-755;-22
-842;-574;1411
-249;-62;-1420
693;256;1044
506;598;-616
15;262;-403
-783;-870;880
680;640;205
-243;-331;-319
-143;-484;627
-903;-190;96
1738;171;270
-921;-34;-1137
320;323;303
179;277;-488
-75;-321;642
-67;-540;678
-55;880;-1829
398;-898;587
-951;-361;-167
527;972;-342
899;-356;1411
-643;902;-1456
-150;194;243
693;554;-962
-408;-482;-16
-194;-112;449
503;149;678
-1014;-962;-218
164;1107;217
1025;-390;0
-1046;639;-1292
404;229;-634
-250;27;-122
-50;-1269;526
333;18;877
1119;842;-396
-797;6;-965
-533;-22;996
1399;13;838
-879;-621;-1435
183;431;731
-634;-955;-667
317;1008;1527
-590;-521;-623
249;38;-860
18;676;73
239;185;142
-175;-345;-268
852;-466;810
362;935;523
-799;-1037;-29
851;1227;-830
-811;-1086;-104
-465;157;-588
376;-10;-90
-626;-260;1851
445;187;-753
381;-219;-1295
-314;-673;2047
1011;1604;-436
-541;-1751;421
88;1225;-997
-361;284;-165
813;66;1175
-735;-413;-100
-789;-606;-341
-449;-158;-81
1933;-161;-72
-88;865;-608
-691;-187;-616
304;772;350
-603;-609;1133
666;363;-1158
-168;601;-512
-1107;-245;793
152;-776;100
810;284;241
-140;398;-1182
-97;-373;136
-682;-493;832
951;-477;1077
80;644;-1325
-736;-425;701
-666;-589;320
1540;0;-47
-633;333;349
36;1474;-1063
1007;-255;310
-189;-993;738
-311;797;-1938
-561;-634;-96
-721;116;802
673;220;-318
130;-138;491
-312;-81;382
148;362;-585
705;278;225
-1211;-486;218
1323;295;-906
-830;-56;515
-323;-397;-113
-180;-807;1331
958;330;0
-713;1041;-1295
586;-398;1040
-932;-771;-157
1715;-237;372
-803;351;37
-152;279;-292
288;349;-1137
-169;460;-463
522;-1361;1600
-1378;927;-1055
1067;-25;188
-333;231;129
-402;-92;192
1035;63;618
185;-680;-765
99;708;136
-1717;-1216;845
891;0;0
70;330;0
-249;469;-1221
422;478;89
260;-581;509
-403;1350;-1078
893;-822;670
-663;-912;769
-1385;29;259
1132;-344;-1
621;2012;-1699
-367;-1294;1329
-307;820;-774
-339;-205;-904
-87;-192;0
341;-568;974
533;-575;762
76;906;-1665
-1198;508;494
749;632;-567
-13;-337;1030
-1132;-1711;1017
1467;1625;-1118
-862;-384;153
147;-372;377
-171;278;-643
631;-549;881
-478;414;-1269
317;364;292
-163;-759;1324
507;1260;-1827
-1127;-611;-1360
229;376;1117
433;1200;-1433
13;-399;-372
445;336;1402
-581;213;-318
343;-755;385
183;-251;-851
33;917;554
-363;-564;-32
827;554;-530
-398;-290;325
126;-808;1107
183;194;-2048
-781;-181;545
500;288;197
-284;898;-538
248;-372;99
-599;-279;464
-126;-576;1278
262;475;-1508
-37;-780;556
-677;807;-332
2047;-867;1092
-1047;1395;-1513
-719;-150;66
1073;-271;1502
-145;154;-1377
-646;-738;132
1111;119;1379
-306;-620;-492
-688;1965;-1141
221;-712;146
1143;-1336;1485
-1068;2046;-2017
-94;-1040;514
-106;-67;-245
361;-172;1095
-98;327;-472
3;430;-471
-221;-160;1125
519;-413;-1087
-336;56;183
575;414;-61
383;-72;1293
-1954;-1355;-109
852;1572;-1385
616;400;-75
563;25;1316
-1987;-1698;163
-33;266;-596
951;369;-229
-979;-301;-714
1671;-635;1764
-1228;997;-346
