X;Y;Z
12;-58;73
-11;27;-93
24;-35;10
-25;55;40
13;-42;-24
-33;17;-17
16;26;0
-37;-37;37
33;52;-28
50;-42;32
-46;14;-35
0;3;-6
11;-9;20
18;-83;35
-22;105;-30
6;-19;-19
-13;-5;28
15;-41;-20
6;-3;8
-30;45;13
31;-28;-26
-15;5;35
11;2;-41
-16;-3;10
1;-13;16
-10;28;-59
28;-29;43
-36;9;-21
41;-30;-33
-19;30;28
-1;-21;18
11;10;18
-12;8;-62
-14;19;4
15;-35;-8
-15;7;27
10;24;-22
-19;6;46
-7;-25;3
11;15;-6
29;-3;-31
-16;10;34
3;10;-32
-13;-20;19
0;-4;3
13;32;-15
-27;-10;16
19;10;-58
4;-29;49
-26;18;-50
11;7;17
-19;14;21
28;-10;-32
-6;-32;14
6;-13;33
8;48;21
-19;-3;-48
-16;-4;34
59;-32;-19
-34;19;-13
-3;-19;14
21;67;10
5;-36;-70
1;-16;116
-4;2;-90
1;18;-14
-16;-21;19
-13;29;-51
34;-2;96
-21;-23;-43
-14;30;11
28;-31;6
-29;40;-54
-3;-3;24
8;3;-2
25;-19;13
-31;-16;-14
-26;18;26
39;14;18
-13;-9;15
32;-50;-53
-28;4;32
-3;26;29
-24;-14;-11
31;-12;-13
-20;61;2
-15;26;-49
5;-1;60
-15;28;-71
8;3;23
24;-32;-9
-30;15;11
7;-6;41
-4;44;-19
-4;-30;41
-28;-8;-44
49;37;1
-4;-36;-4
-14;-2;-39
-14;18;0
-1;28;51
-9;4;38
9;-68;-41
3;23;-9
16;32;-81
-4;-38;136
-9;15;-91
-3;18;-52
-1;-3;106
2;-21;-40
5;31;-37
-21;-18;42
12;-5;31
20;-15;-59
2;17;-13
3;-18;83
-10;21;-31
-39;-38;31
-17;8;62
40;2;-112
4;9;-12
-14;13;68
25;-41;-54
-11;-17;-41
-1;37;1
26;-22;34
2;44;21
-24;20;-46
-30;-3;-26
27;-48;207
-2;2;-154
1;-49;-13
-8;77;35
20;-56;-57
-5;49;-23
-13;39;37
-3;2;58
52;-15;23
-37;-89;-34
-17;1;-31
23;1;29
-31;41;-40
-37;-17;-13
46;-16;-37
42;-34;29
-9;64;18
-7;5;-29
11;-18;19
-23;6;27
9;4;-8
-5;-23;-30
-8;-4;18
8;2;4
0;10;-54
7;11;26
-24;-18;29
-19;17;-4
25;-3;-38
-19;-1;-14
22;17;50
-12;5;-26
-7;-20;-34
21;-27;24
2;9;12
-21;41;37
14;-1;-65
-20;-32;-5
20;-40;110
24;71;-23
-55;-23;-25
-1;-7;-19
67;-26;9
-22;31;4
-13;10;-32
-13;-6;-29
12;-14;8
-12;18;4
-13;-30;84
16;13;-4
0;27;-55
-21;9;27
52;-18;33
33;-19;16
-39;16;0
31;18;8
-13;11;48
-12;-33;-21
4;12;7
24;30;13
-31;-32;-33
3;33;-57
-9;-39;23
5;20;14
7;-26;46
-1;-13;22
-2;29;20
5;-21;-4
-1;-24;3
1;61;-51
-32;-6;14
22;-22;-21
-1;14;13
19;-34;-46
-35;20;40
26;1;20
1;-13;-19
-12;33;-65
9;-31;60
-7;-11;30
1;34;-58
14;-8;-22
-21;-30;72
21;33;-13
4;-9;-10
-29;15;11
31;-50;-8
-11;54;-1
-11;-15;-49
-3;-39;43
31;57;20
-26;-16;-29
-5;11;-19
1;28;43
-11;-57;-35
4;0;61
-10;5;-31
-6;24;-61
15;-11;31
26;-15;12
-25;-6;-45
0;25;20
5;-16;53
-1;35;-80
-7;-13;24
9;-28;-1
-17;-5;44
-3;-21;-1
15;39;-36
