X;Y;Z
46;79;-11
27;45;18
-118;-66;12
-120;-67;69
60;-35;-105
120;-38;-62
14;-78;85
-42;23;11
-20;30;29
132;128;-101
108;174;-4
-64;-6;89
-129;19;28
55;-111;-116
109;-44;-32
-124;-52;12
-93;-21;86
61;145;-95
29;5;44
-97;-85;105
-98;-98;-50
102;-72;-12
17;24;12
19;35;20
144;157;-76
-176;87;147
-48;-64;-59
126;-131;-132
29;-37;44
-48;-92;11
-94;42;20
47;80;45
-7;3;3
-86;-12;-19
-106;-63;70
65;-99;-101
122;-59;48
-39;61;-33
-13;13;66
138;153;-95
81;115;-53
-73;42;66
-106;0;69
0;-95;-14
111;-35;-155
-53;-65;89
-117;1;-11
118;40;44
-47;-51;15
-136;-9;53
-20;-41;-35
112;-76;-37
42;-36;-21
-16;-4;34
-54;9;84
60;85;-84
137;142;-93
-32;79;33
-130;40;97
29;-70;-7
122;-83;-95
-37;-43;-32
-118;-35;66
-15;83;11
116;28;-7
-75;-49;37
-102;-17;24
-30;-88;-12
111;-36;-38
3;-39;10
-86;3;42
91;117;-92
177;155;-30
-67;53;93
-124;-48;61
23;-38;-117
111;-68;-65
-59;-48;48
-127;18;72
82;96;-28
28;-69;8
-167;-13;48
-8;-81;-5
121;-29;-71
5;-69;36
-35;0;2
18;95;3
193;140;-90
-74;116;2
-91;6;161
-55;-47;-36
154;-98;-140
-4;-9;3
-116;-102;113
16;134;-39
37;0;14
-101;-66;37
-129;-28;4
65;-122;-46
133;-11;-26
-43;2;40
-17;59;30
159;125;-83
80;126;-3
-139;43;74
-101;-43;4
104;-99;-98
56;-52;-64
-77;-28;78
-104;-3;38
126;90;14
-119;-59;-4
-127;-62;30
153;-99;-38
4;13;16
-58;18;33
172;121;-94
94;143;-8
-91;42;73
-121;-16;58
35;-63;-87
102;-62;-90
17;-40;-5
-74;-9;48
-112;-3;59
85;63;-6
-2;-46;51
-189;-55;32
30;-36;-107
119;-59;-22
-31;-10;60
-6;11;22
148;188;-79
53;88;6
-164;46;93
-12;-42;2
153;-108;-153
-53;-18;-15
-103;-104;131
41;145;-45
60;16;-5
-89;-48;29
-104;-36;60
-38;-67;3
63;-66;-87
84;-42;18
-17;48;21
-52;8;3
202;178;-81
-17;106;19
-148;3;126
49;-78;-97
114;-102;-89
-63;5;32
-151;25;51
147;38;29
-26;-39;-11
-153;-52;50
-30;-33;-42
113;-76;-26
27;-36;10
-66;8;43
108;156;-154
155;140;72
-93;79;88
-167;-30;-11
91;-123;-106
105;-26;-15
-59;-28;-22
-74;-42;79
-45;25;41
56;116;-72
14;-49;26
-117;-95;124
-33;-32;-86
105;-88;-34
3;12;14
-22;7;77
49;132;-119
192;135;-16
-78;27;90
-158;-5;23
90;-88;-124
48;-54;-24
-108;-45;79
2;80;-33
16;17;57
-119;-126;43
-39;-25;-55
143;-82;-27
-38;43;39
28;28;40
134;167;-125
73;72;-17
-63;24;17
-75;72;109
-61;-49;30
-25;-58;-22
137;-79;-125
3;-45;-48
-157;-13;117
64;96;64
-65;-55;-18
-126;-107;16
147;-96;-84
-20;15;68
-44;32;-14
228;186;-82
8;110;5
-152;19;131
-26;-62;-29
132;-102;-123
-37;-18;-17
-106;-75;114
8;96;-42
66;38;-10
-116;-61;58
-83;-61;2
80;-97;-77
67;-39;54
-71;14;21
64;142;-85
202;151;-5
-57;36;110
-177;-17;20
84;-101;-130
106;-50;-6
-113;-36;-1
-65;-35;114
69;145;-89
25;-8;31
-110;-25;43
-113;-78;17
22;-65;-63
109;-34;-25
-24;-17;49
55;53;4
150;250;-92
-44;13;105
-141;-37;23
52;-49;-94
101;-51;-61
-57;-55;27
-121;-38;135
65;118;-72
38;18;-19
-125;-47;21
-109;-83;27
123;-53;-61
66;-51;38
-98;20;44
84;114;-132
203;170;3
-108;24;64
-116;50;65
-35;-73;-14
142;-88;-89
40;-70;-31
-61;-29;34
-134;12;31
65;110;-65
16;-44;35
-117;-50;113
-28;-56;-21
124;-108;-28
-44;47;-15
-9;-18;29
183;197;-87
23;96;10
-137;46;135
-44;-41;-55
107;-81;-112
69;-69;-9
-83;-52;10
-131;50;66
166;58;45
-150;-48;-50
-124;-79;70
128;-55;-80
54;-74;22
-64;45;-4
24;93;-27
213;197;-41
-62;35;65
-146;-37;76
79;-77;-109
70;-82;-60
-110;-30;52
-69;63;2
140;48;66
-133;-50;-21
-124;-72;55
112;-111;-63
83;-16;-8
-49;23;24
-47;15;-13
124;147;-59
151;129;-10
-122;46;52
-87;-22;83
32;-46;-80
94;-64;-119
-33;-54;39
-153;24;78
128;43;8
-145;-49;50
-119;-72;-24
154;-94;-69
53;-24;47
-31;35;-8
-26;-40;61
134;184;-119
91;136;-19
-79;20;34
-131;20;106
48;-60;-81
122;-99;-109
-63;-50;79
-117;7;21
48;92;-16
1;-73;57
-146;-87;59
20;-66;-93
144;-53;52
-50;51;-30
10;51;35
180;177;-84
